alpha,camber,position_of_camber,thickness,Reynolds_number,cl,cd,ratio
0,0,0,0.1,1.80E+05,0,0.01066,0
1,0,0,0.1,1.80E+05,0.2189,0.00999,21.91191191
2,0,0,0.1,1.80E+05,0.3174,0.00954,33.27044025
3,0,0,0.1,1.80E+05,0.4074,0.0101,40.33663366
4,0,0,0.1,1.80E+05,0.4957,0.0114,43.48245614
5,0,0,0.1,1.80E+05,0.5789,0.01382,41.88856729
6,0,0,0.1,1.80E+05,0.6608,0.01715,38.53061224
7,0,0,0.1,1.80E+05,0.7464,0.02161,34.53956502
8,0,0,0.1,1.80E+05,0.8336,0.02676,31.1509716
9,0,0,0.1,1.80E+05,0.9073,0.03443,26.35201859
10,0,0,0.1,1.80E+05,0.8854,0.05524,16.02824041
11,0,0,0.1,1.80E+05,0.6983,0.11038,6.326327233
12,0,0,0.1,1.80E+05,0.6985,0.13046,5.354131535
13,0,0,0.1,1.80E+05,0.691,0.14857,4.65100626
14,0,0,0.1,1.80E+05,0.6905,0.16695,4.135968853
15,0,0,0.1,1.80E+05,0.7262,0.18304,3.967438811
16,0,0,0.1,1.80E+05,0.7259,0.19893,3.649022269
17,0,0,0.1,1.80E+05,0.7564,0.2129,3.55284171
18,0,0,0.1,1.80E+05,0.7868,0.232,3.39137931
19,0,0,0.1,1.80E+05,0.8052,0.24419,3.297432327
20,0,0,0.1,1.80E+05,0.8359,0.25802,3.239671343
-5,0,0,0.1,2.00E+05,-0.5796,0.01344,-43.125
-4,0,0,0.1,2.00E+05,-0.4957,0.01105,-44.85972851
-3,0,0,0.1,2.00E+05,-0.4064,0.00976,-41.63934426
-2,0,0,0.1,2.00E+05,-0.3146,0.00914,-34.42013129
-1,0,0,0.1,2.00E+05,-0.2233,0.00946,-23.60465116
0,0,0,0.1,2.00E+05,0,0.01003,0
1,0,0,0.1,2.00E+05,0.2233,0.00946,23.60465116
2,0,0,0.1,2.00E+05,0.3146,0.00914,34.42013129
3,0,0,0.1,2.00E+05,0.4063,0.00976,41.62909836
4,0,0,0.1,2.00E+05,0.4956,0.01104,44.89130435
5,0,0,0.1,2.00E+05,0.5795,0.01344,43.11755952
6,0,0,0.1,2.00E+05,0.6634,0.01635,40.57492355
7,0,0,0.1,2.00E+05,0.7485,0.02035,36.78132678
8,0,0,0.1,2.00E+05,0.8357,0.02509,33.30809087
9,0,0,0.1,2.00E+05,0.9053,0.03447,26.26341746
10,0,0,0.1,2.00E+05,0.9235,0.04902,18.83924929
11,0,0,0.1,2.00E+05,0.3392,0.00358,94.74860335
13,0,0,0.1,2.00E+05,0.6894,0.14854,4.641174095
14,0,0,0.1,2.00E+05,0.7096,0.16261,4.363815264
15,0,0,0.1,2.00E+05,0.7071,0.18266,3.871126683
16,0,0,0.1,2.00E+05,0.734,0.19662,3.733089208
17,0,0,0.1,2.00E+05,0.7618,0.21525,3.539140534
18,0,0,0.1,2.00E+05,0.7773,0.22914,3.39224928
19,0,0,0.1,2.00E+05,0.8069,0.2432,3.317845395
20,0,0,0.1,2.00E+05,0.8442,0.26044,3.241437567
-5,0,0,0.1,2.10E+05,-0.5804,0.01321,-43.93641181
-4,0,0,0.1,2.10E+05,-0.4955,0.01092,-45.37545788
-3,0,0,0.1,2.10E+05,-0.4059,0.00962,-42.19334719
-2,0,0,0.1,2.10E+05,-0.3135,0.00897,-34.94983278
-1,0,0,0.1,2.10E+05,-0.2119,0.00923,-22.95774648
0,0,0,0.1,2.10E+05,0,0.00971,0
1,0,0,0.1,2.10E+05,0.212,0.00923,22.96858072
2,0,0,0.1,2.10E+05,0.3134,0.00897,34.9386845
3,0,0,0.1,2.10E+05,0.4058,0.00962,42.18295218
4,0,0,0.1,2.10E+05,0.4954,0.01092,45.36630037
5,0,0,0.1,2.10E+05,0.5803,0.01321,43.92884179
6,0,0,0.1,2.10E+05,0.6641,0.01607,41.32545115
7,0,0,0.1,2.10E+05,0.7494,0.01981,37.8293791
8,0,0,0.1,2.10E+05,0.8366,0.02432,34.39967105
9,0,0,0.1,2.10E+05,0.9085,0.03298,27.54699818
10,0,0,0.1,2.10E+05,0.9286,0.0472,19.67372881
11,0,0,0.1,2.10E+05,0.8597,0.06483,13.26083603
12,0,0,0.1,2.10E+05,0.7013,0.12643,5.546942972
13,0,0,0.1,2.10E+05,0.6838,0.14892,4.591727102
14,0,0,0.1,2.10E+05,0.7114,0.1635,4.351070336
15,0,0,0.1,2.10E+05,0.7083,0.18205,3.890689371
16,0,0,0.1,2.10E+05,0.7426,0.19826,3.745586603
17,0,0,0.1,2.10E+05,0.753,0.21379,3.522147902
18,0,0,0.1,2.10E+05,0.7779,0.22875,3.400655738
19,0,0,0.1,2.10E+05,0.8089,0.24238,3.337321561
20,0,0,0.1,2.10E+05,0.8427,0.26211,3.215062378
-5,0,0,0.1,2.20E+05,-0.581,0.01302,-44.62365591
-4,0,0,0.1,2.20E+05,-0.4956,0.01077,-46.01671309
-3,0,0,0.1,2.20E+05,-0.4054,0.0095,-42.67368421
-2,0,0,0.1,2.20E+05,-0.3123,0.00883,-35.36806342
-1,0,0,0.1,2.20E+05,-0.2013,0.00902,-22.31707317
0,0,0,0.1,2.20E+05,0,0.0094,0
1,0,0,0.1,2.20E+05,0.2012,0.00902,22.3059867
2,0,0,0.1,2.20E+05,0.3123,0.00883,35.36806342
3,0,0,0.1,2.20E+05,0.4053,0.0095,42.66315789
4,0,0,0.1,2.20E+05,0.4955,0.01077,46.00742804
5,0,0,0.1,2.20E+05,0.5809,0.01302,44.61597542
6,0,0,0.1,2.20E+05,0.6639,0.01599,41.51969981
7,0,0,0.1,2.20E+05,0.7504,0.01931,38.86069394
8,0,0,0.1,2.20E+05,0.8375,0.02359,35.5023315
9,0,0,0.1,2.20E+05,0.9109,0.03196,28.50125156
10,0,0,0.1,2.20E+05,0.9346,0.04576,20.42395105
11,0,0,0.1,2.20E+05,0.7016,0.1079,6.50231696
12,0,0,0.1,2.20E+05,0.7071,0.12514,5.650471472
13,0,0,0.1,2.20E+05,0.6917,0.14659,4.718602906
14,0,0,0.1,2.20E+05,0.7076,0.16367,4.323333537
15,0,0,0.1,2.20E+05,0.7124,0.18075,3.941355463
16,0,0,0.1,2.20E+05,0.7407,0.19804,3.740153504
17,0,0,0.1,2.20E+05,0.7512,0.21371,3.515043751
18,0,0,0.1,2.20E+05,0.7792,0.22805,3.416794563
19,0,0,0.1,2.20E+05,0.8159,0.24367,3.348381007
20,0,0,0.1,2.20E+05,0.8392,0.26022,3.224963492
-5,0,0,0.12,2.50E+05,-0.6233,0.01229,-50.71602929
-4,0,0,0.12,2.50E+05,-0.5377,0.01106,-48.61663653
-3,0,0,0.12,2.50E+05,-0.4302,0.01033,-41.64569216
-2,0,0,0.12,2.50E+05,-0.2672,0.00959,-27.86235662
-1,0,0,0.12,2.50E+05,-0.1169,0.00892,-13.10538117
0,0,0,0.12,2.50E+05,0,0.00862,0
1,0,0,0.12,2.50E+05,0.1169,0.00892,13.10538117
2,0,0,0.12,2.50E+05,0.2672,0.00959,27.86235662
3,0,0,0.12,2.50E+05,0.4302,0.01033,41.64569216
4,0,0,0.12,2.50E+05,0.5376,0.01106,48.60759494
5,0,0,0.12,2.50E+05,0.6232,0.01228,50.74918567
6,0,0,0.12,2.50E+05,0.7032,0.01413,49.76645435
7,0,0,0.12,2.50E+05,0.7798,0.01639,47.57779134
8,0,0,0.12,2.50E+05,0.8559,0.01895,45.16622691
9,0,0,0.12,2.50E+05,0.9335,0.02205,42.33560091
10,0,0,0.12,2.50E+05,1.0116,0.02612,38.72894334
11,0,0,0.12,2.50E+05,1.0826,0.03099,34.93384963
12,0,0,0.12,2.50E+05,1.14,0.03723,30.62046737
13,0,0,0.12,2.50E+05,1.1243,0.04592,24.48388502
14,0,0,0.12,2.50E+05,1.0766,0.06066,17.74810419
15,0,0,0.12,2.50E+05,0.6938,0.1702,4.076380729
16,0,0,0.12,2.50E+05,0.7103,0.18676,3.803276933
17,0,0,0.12,2.50E+05,0.7337,0.20197,3.63271773
18,0,0,0.12,2.50E+05,0.7688,0.21515,3.573320939
19,0,0,0.12,2.50E+05,0.7949,0.2294,3.465126417
20,0,0,0.12,2.50E+05,0.8216,0.24441,3.361564584
-5,0,0,0.1,3.00E+05,-0.5846,0.01196,-48.87959866
-4,0,0,0.1,3.00E+05,-0.4966,0.00998,-49.75951904
-3,0,0,0.1,3.00E+05,-0.404,0.00874,-46.22425629
-1,0,0,0.1,3.00E+05,-0.1468,0.00756,-19.41798942
0,0,0,0.1,3.00E+05,0,0.00747,0
1,0,0,0.1,3.00E+05,0.1468,0.00756,19.41798942
3,0,0,0.1,3.00E+05,0.4039,0.00873,46.26575029
4,0,0,0.1,3.00E+05,0.4965,0.00998,49.749499
5,0,0,0.1,3.00E+05,0.5845,0.01195,48.91213389
6,0,0,0.1,3.00E+05,0.6716,0.01419,47.329105
7,0,0,0.1,3.00E+05,0.7574,0.01695,44.68436578
8,0,0,0.1,3.00E+05,0.8428,0.02079,40.53872054
9,0,0,0.1,3.00E+05,0.9195,0.02773,33.15903354
10,0,0,0.1,3.00E+05,0.9836,0.03439,28.6013376
11,0,0,0.1,3.00E+05,0.9849,0.04683,21.03139013
12,0,0,0.1,3.00E+05,0.8709,0.07354,11.84253468
13,0,0,0.1,3.00E+05,0.7052,0.14129,4.991152948
14,0,0,0.1,3.00E+05,0.7081,0.16048,4.412387836
15,0,0,0.1,3.00E+05,0.7141,0.17951,3.978051362
16,0,0,0.1,3.00E+05,0.7447,0.19255,3.867566866
17,0,0,0.1,3.00E+05,0.7601,0.21224,3.581323031
18,0,0,0.1,3.00E+05,0.7796,0.22805,3.418548564
19,0,0,0.1,3.00E+05,0.8085,0.24261,3.332508965
20,0,0,0.1,3.00E+05,0.8423,0.25536,3.298480576
-5,0,0,0.1,3.20E+05,-0.5854,0.01177,-49.73661852
-4,0,0,0.1,3.20E+05,-0.4969,0.00985,-50.44670051
-3,0,0,0.1,3.20E+05,-0.4039,0.0086,-46.96511628
-2,0,0,0.1,3.20E+05,-0.2919,0.00783,-37.27969349
-1,0,0,0.1,3.20E+05,-0.1371,0.00729,-18.80658436
0,0,0,0.1,3.20E+05,0,0.00712,0
1,0,0,0.1,3.20E+05,0.1371,0.00729,18.80658436
2,0,0,0.1,3.20E+05,0.2919,0.00783,37.27969349
3,0,0,0.1,3.20E+05,0.4038,0.0086,46.95348837
4,0,0,0.1,3.20E+05,0.4968,0.00985,50.43654822
5,0,0,0.1,3.20E+05,0.5853,0.01177,49.72812234
6,0,0,0.1,3.20E+05,0.6717,0.01409,47.67210788
7,0,0,0.1,3.20E+05,0.7598,0.0164,46.32926829
8,0,0,0.1,3.20E+05,0.845,0.02004,42.16566866
9,0,0,0.1,3.20E+05,0.9225,0.02641,34.92995078
10,0,0,0.1,3.20E+05,0.9919,0.03234,30.67099567
11,0,0,0.1,3.20E+05,1.0187,0.04216,24.16271347
12,0,0,0.1,3.20E+05,0.9538,0.05827,16.3686288
13,0,0,0.1,3.20E+05,0.7088,0.13839,5.121757352
14,0,0,0.1,3.20E+05,0.7001,0.16257,4.306452605
15,0,0,0.1,3.20E+05,0.7226,0.17661,4.091501048
16,0,0,0.1,3.20E+05,0.2444,0.05169,4.72818727
17,0,0,0.1,3.20E+05,0.2684,0.0641,4.187207488
18,0,0,0.1,3.20E+05,0.3059,0.0756,4.046296296
19,0,0,0.1,3.20E+05,0.3405,0.0919,3.705114255
20,0,0,0.1,3.20E+05,0.3614,0.1037,3.485053038
-5,0,0,0.1,3.60E+05,-0.5872,0.01138,-51.59929701
-4,0,0,0.1,3.60E+05,-0.4978,0.00959,-51.90823775
-3,0,0,0.1,3.60E+05,-0.4039,0.00837,-48.25567503
-2,0,0,0.1,3.60E+05,-0.2742,0.0075,-36.56
-1,0,0,0.1,3.60E+05,-0.1213,0.00683,-17.75988287
0,0,0,0.1,3.60E+05,0,0.00659,0
1,0,0,0.1,3.60E+05,0.1213,0.00683,17.75988287
2,0,0,0.1,3.60E+05,0.2742,0.0075,36.56
3,0,0,0.1,3.60E+05,0.4039,0.00837,48.25567503
4,0,0,0.1,3.60E+05,0.4977,0.00959,51.89781022
5,0,0,0.1,3.60E+05,0.5871,0.01137,51.63588391
6,0,0,0.1,3.60E+05,0.6751,0.01343,50.26805659
7,0,0,0.1,3.60E+05,0.7631,0.01564,48.7915601
8,0,0,0.1,3.60E+05,0.8494,0.01875,45.30133333
9,0,0,0.1,3.60E+05,0.9292,0.02411,38.54002489
10,0,0,0.1,3.60E+05,1.0054,0.02862,35.12928022
11,0,0,0.1,3.60E+05,1.0391,0.03857,26.94062743
13,0,0,0.1,3.60E+05,0.7056,0.13959,5.054803353
14,0,0,0.1,3.60E+05,0.7127,0.15804,4.509617818
15,0,0,0.1,3.60E+05,0.7203,0.17705,4.068342276
16,0,0,0.1,3.60E+05,0.7324,0.19583,3.739978553
17,0,0,0.1,3.60E+05,0.7555,0.21171,3.568560767
18,0,0,0.1,3.60E+05,0.784,0.22549,3.476872589
19,0,0,0.1,3.60E+05,0.8124,0.24253,3.349688698
20,0,0,0.1,3.60E+05,0.839,0.25726,3.261292078
-5,0,0,0.1,4.00E+05,-0.5885,0.01111,-52.97029703
-4,0,0,0.1,4.00E+05,-0.4987,0.00938,-53.1663113
-3,0,0,0.1,4.00E+05,-0.4041,0.00819,-49.34065934
-2,0,0,0.1,4.00E+05,-0.2603,0.0072,-36.15277778
-1,0,0,0.1,4.00E+05,-0.1149,0.00647,-17.75888717
0,0,0,0.1,4.00E+05,0,0.00617,0
1,0,0,0.1,4.00E+05,0.1149,0.00647,17.75888717
2,0,0,0.1,4.00E+05,0.2603,0.0072,36.15277778
3,0,0,0.1,4.00E+05,0.404,0.00819,49.32844933
4,0,0,0.1,4.00E+05,0.4986,0.00938,53.15565032
5,0,0,0.1,4.00E+05,0.5884,0.01111,52.96129613
6,0,0,0.1,4.00E+05,0.6777,0.01292,52.45356037
7,0,0,0.1,4.00E+05,0.7633,0.01544,49.4365285
8,0,0,0.1,4.00E+05,0.8523,0.01797,47.42904841
9,0,0,0.1,4.00E+05,0.9346,0.02238,41.76050045
10,0,0,0.1,4.00E+05,1.0071,0.02783,36.18756737
11,0,0,0.1,4.00E+05,1.0364,0.03834,27.03182055
12,0,0,0.1,4.00E+05,1.0084,0.04961,20.32654707
13,0,0,0.1,4.00E+05,0.7236,0.13366,5.413736346
14,0,0,0.1,4.00E+05,0.711,0.15668,4.537911667
15,0,0,0.1,4.00E+05,0.7197,0.17741,4.056704808
16,0,0,0.1,4.00E+05,0.734,0.19522,3.75986067
17,0,0,0.1,4.00E+05,0.7606,0.20901,3.639060332
18,0,0,0.1,4.00E+05,0.785,0.2263,3.468846664
19,0,0,0.1,4.00E+05,0.8115,0.24216,3.351090188
20,0,0,0.1,4.00E+05,0.8389,0.25706,3.263440442
-5,0,0,0.1,4.00E+05,-0.59,0.01082,-54.52865065
-4,0,0,0.1,4.00E+05,-0.4995,0.00922,-54.17570499
-3,0,0,0.1,4.00E+05,-0.4002,0.00802,-49.90024938
-2,0,0,0.1,4.00E+05,-0.2474,0.00696,-35.54597701
-1,0,0,0.1,4.00E+05,-0.1097,0.00616,-17.80844156
0,0,0,0.1,4.00E+05,0,0.00585,0
1,0,0,0.1,4.00E+05,0.1097,0.00616,17.80844156
2,0,0,0.1,4.00E+05,0.2474,0.00696,35.54597701
3,0,0,0.1,4.00E+05,0.4002,0.00802,49.90024938
4,0,0,0.1,4.00E+05,0.4994,0.00922,54.164859
5,0,0,0.1,4.00E+05,0.5899,0.01082,54.5194085
6,0,0,0.1,4.00E+05,0.6797,0.01252,54.28913738
7,0,0,0.1,4.00E+05,0.7672,0.01472,52.11956522
8,0,0,0.1,4.00E+05,0.851,0.0181,47.01657459
9,0,0,0.1,4.00E+05,0.9401,0.02087,45.04551989
10,0,0,0.1,4.00E+05,1.0059,0.02791,36.04084558
11,0,0,0.1,4.00E+05,1.0572,0.03493,30.26624678
12,0,0,0.1,4.00E+05,1.0436,0.04524,23.06808134
13,0,0,0.1,4.00E+05,0.9508,0.07245,13.12353347
14,0,0,0.1,4.00E+05,0.7094,0.15757,4.502126039
15,0,0,0.1,4.00E+05,0.7178,0.17806,4.03122543
16,0,0,0.1,4.00E+05,0.7407,0.19211,3.85560356
17,0,0,0.1,4.00E+05,0.7597,0.20965,3.623658478
18,0,0,0.1,4.00E+05,0.7843,0.22634,3.465140938
19,0,0,0.1,4.00E+05,0.8096,0.2417,3.349606951
20,0,0,0.1,4.00E+05,0.8399,0.25639,3.275868794
-5,0,0,0.1,4.60E+05,-0.5907,0.0107,-55.20560748
-4,0,0,0.1,4.60E+05,-0.5,0.00914,-54.70459519
-3,0,0,0.1,4.60E+05,-0.394,0.00791,-49.81036662
-2,0,0,0.1,4.60E+05,-0.2416,0.00684,-35.32163743
-1,0,0,0.1,4.60E+05,-0.1072,0.00604,-17.74834437
0,0,0,0.1,4.60E+05,0,0.00572,0
1,0,0,0.1,4.60E+05,0.1072,0.00604,17.74834437
2,0,0,0.1,4.60E+05,0.2416,0.00684,35.32163743
3,0,0,0.1,4.60E+05,0.394,0.00791,49.81036662
4,0,0,0.1,4.60E+05,0.4999,0.00914,54.69365427
5,0,0,0.1,4.60E+05,0.5906,0.0107,55.19626168
6,0,0,0.1,4.60E+05,0.6805,0.01236,55.0566343
7,0,0,0.1,4.60E+05,0.7688,0.01443,53.27789328
8,0,0,0.1,4.60E+05,0.8535,0.01758,48.54948805
9,0,0,0.1,4.60E+05,0.9427,0.02023,46.59911023
10,0,0,0.1,4.60E+05,1.011,0.02673,37.82267116
11,0,0,0.1,4.60E+05,1.0645,0.03368,31.60629454
12,0,0,0.1,4.60E+05,1.0612,0.04317,24.58188557
13,0,0,0.1,4.60E+05,0.9846,0.06562,15.00457178
14,0,0,0.1,4.60E+05,0.7084,0.15932,4.446397188
15,0,0,0.1,4.60E+05,0.7212,0.17661,4.083573977
16,0,0,0.1,4.60E+05,0.7461,0.1898,3.930979979
17,0,0,0.1,4.60E+05,0.7594,0.20977,3.620155408
18,0,0,0.1,4.60E+05,0.7841,0.22629,3.465022758
19,0,0,0.1,4.60E+05,0.8103,0.24205,3.347655443
20,0,0,0.1,4.60E+05,0.8405,0.25576,3.286284016
-5,0,0,0.1,4.80E+05,-0.5913,0.01059,-55.83569405
-4,0,0,0.1,4.80E+05,-0.5004,0.00907,-55.17089305
-3,0,0,0.1,4.80E+05,-0.3884,0.0078,-49.79487179
-2,0,0,0.1,4.80E+05,-0.2362,0.00672,-35.14880952
-1,0,0,0.1,4.80E+05,-0.1047,0.00593,-17.65598651
0,0,0,0.1,4.80E+05,0,0.00561,0
1,0,0,0.1,4.80E+05,0.1047,0.00593,17.65598651
2,0,0,0.1,4.80E+05,0.2362,0.00672,35.14880952
3,0,0,0.1,4.80E+05,0.3884,0.0078,49.79487179
4,0,0,0.1,4.80E+05,0.5003,0.00907,55.1598677
5,0,0,0.1,4.80E+05,0.5912,0.01059,55.82625118
6,0,0,0.1,4.80E+05,0.6811,0.01224,55.64542484
7,0,0,0.1,4.80E+05,0.7703,0.01416,54.39971751
8,0,0,0.1,4.80E+05,0.8557,0.01713,49.95329831
9,0,0,0.1,4.80E+05,0.9449,0.01973,47.89153573
10,0,0,0.1,4.80E+05,1.0152,0.02579,39.36409461
11,0,0,0.1,4.80E+05,1.0711,0.03253,32.92652936
12,0,0,0.1,4.80E+05,1.0794,0.04104,26.30116959
13,0,0,0.1,4.80E+05,1.029,0.05753,17.88632018
14,0,0,0.1,4.80E+05,0.7109,0.15843,4.487155211
15,0,0,0.1,4.80E+05,0.7269,0.17426,4.17135315
16,0,0,0.1,4.80E+05,0.7381,0.19234,3.837475304
17,0,0,0.1,4.80E+05,0.7591,0.20987,3.617001001
18,0,0,0.1,4.80E+05,0.784,0.22618,3.466265806
19,0,0,0.1,4.80E+05,0.8108,0.24183,3.352768474
20,0,0,0.1,4.80E+05,0.8413,0.25497,3.299603875
-5,0,0,0.1,5.00E+05,-0.5919,0.0105,-56.37142857
-4,0,0,0.1,5.00E+05,-0.5008,0.00901,-55.5826859
-3,0,0,0.1,5.00E+05,-0.383,0.0077,-49.74025974
-2,0,0,0.1,5.00E+05,-0.2335,0.00662,-35.27190332
-1,0,0,0.1,5.00E+05,-0.1034,0.00581,-17.79690189
0,0,0,0.1,5.00E+05,0,0.0055,0
1,0,0,0.1,5.00E+05,0.1034,0.00581,17.79690189
2,0,0,0.1,5.00E+05,0.2335,0.00662,35.27190332
3,0,0,0.1,5.00E+05,0.3831,0.0077,49.75324675
4,0,0,0.1,5.00E+05,0.5007,0.00901,55.57158713
5,0,0,0.1,5.00E+05,0.5918,0.01049,56.41563394
6,0,0,0.1,5.00E+05,0.6813,0.01218,55.93596059
7,0,0,0.1,5.00E+05,0.7716,0.01392,55.43103448
8,0,0,0.1,5.00E+05,0.8577,0.01674,51.23655914
9,0,0,0.1,5.00E+05,0.9458,0.01948,48.5523614
10,0,0,0.1,5.00E+05,1.0188,0.025,40.752
11,0,0,0.1,5.00E+05,1.0773,0.03144,34.26526718
12,0,0,0.1,5.00E+05,1.0958,0.03908,28.03991812
13,0,0,0.1,5.00E+05,1.0672,0.0515,20.7223301
14,0,0,0.1,5.00E+05,0.7338,0.14885,4.929795096
15,0,0,0.1,5.00E+05,0.7344,0.17087,4.298004331
16,0,0,0.1,5.00E+05,0.7378,0.19254,3.831931027
17,0,0,0.1,5.00E+05,0.759,0.20993,3.615490878
18,0,0,0.1,5.00E+05,0.7834,0.2261,3.464838567
19,0,0,0.1,5.00E+05,0.8114,0.2414,3.361226181
20,0,0,0.1,5.00E+05,0.8422,0.25403,3.315356454
-5,0,0,0.06,5.00E+05,-0.5385,0.01562,-34.47503201
-4,0,0,0.06,5.00E+05,-0.441,0.01058,-41.68241966
-3,0,0,0.06,5.00E+05,-0.3401,0.00823,-41.32442284
-2,0,0,0.06,5.00E+05,-0.2449,0.00561,-43.65418895
-1,0,0,0.06,5.00E+05,-0.1473,0.00472,-31.20762712
0,0,0,0.06,5.00E+05,0,0.00477,0
1,0,0,0.06,5.00E+05,0.1473,0.00472,31.20762712
2,0,0,0.06,5.00E+05,0.2448,0.00561,43.63636364
3,0,0,0.06,5.00E+05,0.3401,0.00823,41.32442284
4,0,0,0.06,5.00E+05,0.441,0.01057,41.7218543
-5,0,0,0.1,6.00E+05,-0.5949,0.01004,-59.25298805
-4,0,0,0.1,6.00E+05,-0.5031,0.0087,-57.82758621
-3,0,0,0.1,6.00E+05,-0.3632,0.00729,-49.82167353
-2,0,0,0.1,6.00E+05,-0.2203,0.0062,-35.53225806
-1,0,0,0.1,6.00E+05,-0.102,0.00542,-18.81918819
0,0,0,0.1,6.00E+05,0,0.00513,0
1,0,0,0.1,6.00E+05,0.102,0.00542,18.81918819
2,0,0,0.1,6.00E+05,0.2203,0.0062,35.53225806
3,0,0,0.1,6.00E+05,0.3632,0.00729,49.82167353
4,0,0,0.1,6.00E+05,0.503,0.0087,57.81609195
5,0,0,0.1,6.00E+05,0.5948,0.01003,59.30209372
6,0,0,0.1,6.00E+05,0.6855,0.01145,59.86899563
7,0,0,0.1,6.00E+05,0.7769,0.01299,59.80754426
8,0,0,0.1,6.00E+05,0.8656,0.01529,56.61216481
9,0,0,0.1,6.00E+05,0.9503,0.01852,51.31209503
10,0,0,0.1,6.00E+05,1.0333,0.02204,46.88294011
11,0,0,0.1,6.00E+05,1.1038,0.02666,41.40285071
12,0,0,0.1,6.00E+05,1.1497,0.03248,35.39716749
13,0,0,0.1,6.00E+05,1.0828,0.04863,22.26609089
14,0,0,0.1,6.00E+05,0.7409,0.14764,5.018287727
15,0,0,0.1,6.00E+05,0.7215,0.17473,4.129227952
16,0,0,0.1,6.00E+05,0.7374,0.19308,3.819142324
17,0,0,0.1,6.00E+05,0.7587,0.21071,3.600683404
18,0,0,0.1,6.00E+05,0.7854,0.22546,3.483544753
19,0,0,0.1,6.00E+05,0.817,0.23699,3.447402844
20,0,0,0.1,6.00E+05,0.8401,0.25523,3.291540963
-5,0,0,0.24,6.00E+05,-0.4902,0.01091,-44.93125573
-4,0,0,0.24,6.00E+05,-0.3971,0.01048,-37.89122137
-3,0,0,0.24,6.00E+05,-0.3003,0.0102,-29.44117647
-2,0,0,0.24,6.00E+05,-0.2,0.01002,-19.96007984
-1,0,0,0.24,6.00E+05,-0.1009,0.00994,-10.15090543
0,0,0,0.24,6.00E+05,0,0.00984,0
1,0,0,0.24,6.00E+05,0.1009,0.00994,10.15090543
2,0,0,0.24,6.00E+05,0.2001,0.01002,19.97005988
3,0,0,0.24,6.00E+05,0.3004,0.0102,29.45098039
4,0,0,0.24,6.00E+05,0.3973,0.01048,37.91030534
5,0,0,0.24,6.00E+05,0.4905,0.01091,44.95875344
6,0,0,0.24,6.00E+05,0.577,0.01144,50.43706294
7,0,0,0.24,6.00E+05,0.6633,0.01218,54.45812808
8,0,0,0.24,6.00E+05,0.746,0.01322,56.42965204
9,0,0,0.24,6.00E+05,0.8229,0.01463,56.24743677
10,0,0,0.24,6.00E+05,0.9204,0.01657,55.54616777
11,0,0,0.24,6.00E+05,1.0462,0.01908,54.83228512
12,0,0,0.24,6.00E+05,1.154,0.02206,52.3118767
13,0,0,0.24,6.00E+05,1.1455,0.0251,45.6374502
14,0,0,0.24,6.00E+05,1.169,0.02981,39.21502851
15,0,0,0.24,6.00E+05,1.2066,0.03519,34.28815004
16,0,0,0.24,6.00E+05,1.2224,0.04329,28.23746824
17,0,0,0.24,6.00E+05,1.2419,0.05179,23.97953273
18,0,0,0.24,6.00E+05,1.2393,0.06311,19.6371415
19,0,0,0.24,6.00E+05,1.2426,0.07429,16.72634271
20,0,0,0.24,6.00E+05,1.2236,0.08834,13.85103011
-5,0,0,0.21,6.00E+05,-0.5165,0.01014,-50.93688363
-4,0,0,0.21,6.00E+05,-0.4154,0.00966,-43.00207039
-3,0,0,0.21,6.00E+05,-0.3127,0.00931,-33.58754028
-2,0,0,0.21,6.00E+05,-0.2093,0.00907,-23.07607497
-1,0,0,0.21,6.00E+05,-0.104,0.00897,-11.5942029
0,0,0,0.21,6.00E+05,0,0.00891,0
1,0,0,0.21,6.00E+05,0.104,0.00897,11.5942029
2,0,0,0.21,6.00E+05,0.2093,0.00907,23.07607497
3,0,0,0.21,6.00E+05,0.3128,0.00931,33.59828142
4,0,0,0.21,6.00E+05,0.4154,0.00966,43.00207039
5,0,0,0.21,6.00E+05,0.5167,0.01014,50.9566075
6,0,0,0.21,6.00E+05,0.6133,0.01084,56.57749077
7,0,0,0.21,6.00E+05,0.7059,0.01168,60.43664384
8,0,0,0.21,6.00E+05,0.7959,0.01285,61.93774319
9,0,0,0.21,6.00E+05,0.9102,0.0144,63.20833333
10,0,0,0.21,6.00E+05,1.0417,0.01631,63.86879215
11,0,0,0.21,6.00E+05,1.1379,0.01841,61.80879957
12,0,0,0.21,6.00E+05,1.1442,0.02012,56.86878728
13,0,0,0.21,6.00E+05,1.1832,0.02318,51.04400345
14,0,0,0.21,6.00E+05,1.221,0.02782,43.88928828
15,0,0,0.21,6.00E+05,1.2528,0.03387,36.98848539
16,0,0,0.21,6.00E+05,1.2779,0.04137,30.88953348
17,0,0,0.21,6.00E+05,1.2819,0.05176,24.76622875
18,0,0,0.21,6.00E+05,1.277,0.06386,19.99686815
19,0,0,0.21,6.00E+05,1.2718,0.07663,16.59663317
20,0,0,0.21,6.00E+05,1.2441,0.09283,13.40191748
-5,0,0,0.18,6.00E+05,-0.5259,0.00963,-54.6105919
-3,0,0,0.18,6.00E+05,-0.3185,0.00849,-37.5147232
-2,0,0,0.18,6.00E+05,-0.2127,0.00818,-26.00244499
